,date,rate
0,2019-09-18,5.25
1,2019-07-31,5.50
2,2018-12-20,5.25
3,2018-09-27,5.00
4,2018-06-14,4.75
5,2018-03-22,4.75
6,2017-12-14,4.25
7,2017-06-15,4.00
8,2017-03-16,3.75
9,2016-12-15,3.5
10,2015-12-17,3.25
11,2008-12-16,4.00
12,2008-10-29,4.50
13,2008-10-08,5.00
14,2008-04-30,5.25
15,2008-03-18,6.00
16,2008-01-30,6.50
17,2008-01-22,7.25
18,2007-12-11,7.50
19,2007-10-31,7.75
20,2007-09-18,8.25
21,2006-06-29,8.00
22,2006-05-10,7.75
23,2006-03-28,7.50
24,2006-01-31,7.25
25,2005-12-13,7.00
26,2005-11-01,6.75
27,2005-09-20,6.50
28,2005-08-09,6.25
29,2005-06-30,6.00
30,2005-05-03,5.75
31,2005-03-22,5.50
32,2005-02-02,5.25
33,2004-12-14,5.00
34,2004-11-10,4.75
35,2004-09-21,4.50
36,2004-08-11,4.25
37,2004-07-01,4.00
38,2003-06-27,4.25
39,2002-11-07,4.75
40,2001-12-12,5.00
41,2001-11-07,5.50
42,2001-10-03,6.00
43,2001-09-18,6.50
44,2001-08-22,6.75
45,2001-06-28,7.00
46,2001-05-16,7.50
47,2001-04-19,8.00
48,2001-03-21,8.50
49,2001-02-01,9.00
50,2001-01-04,9.50
51,2000-05-17,9.00
52,2000-03-22,8.75
53,2000-02-03,4.75
54,1999-11-17,8.25
55,1999-08-25,8.00
56,1999-07-01,7.75
57,1998-11-18,8.00
58,1998-10-16,8.25
